Gyroscope: (-0.023369998,0.011036,-0.022425)
Gyroscope: (-0.029759996,0.034466,-0.0053850003)
Gyroscope: (-0.01272,0.046181,-0.0011250004)
Gyroscope: (0.006450001,0.040856,0.0020699985)
Gyroscope: (-0.0031349994,0.029141,0.0010049976)
Gyroscope: (5.9999526E-5,0.013166,-0.0011250004)
Gyroscope: (0.01923,0.003581,-0.0011250004)
Gyroscope: (0.010710001,0.0046460005,0.0052649975)
Gyroscope: (0.0011250004,0.013166,0.009524997)
Gyroscope: (-0.010589998,0.016361,0.0073949993)
Gyroscope: (-0.01698,0.0014510006,-0.006450001)
Gyroscope: (-0.026565,0.003581,-0.010710001)
Gyroscope: (-0.03402,0.007841,-0.0053850003)
Gyroscope: (-0.04254,-0.014524,0.0063299984)
Gyroscope: (-0.046800002,-0.029434,-0.007515002)
Gyroscope: (-0.035085,0.025946,-0.009645)
Gyroscope: (-0.029759996,0.031271,-0.004320003)
Gyroscope: (-0.112830006,-0.047539,0.016979998)
Gyroscope: (-0.15329999,-0.097594,-0.029879998)
Gyroscope: (-0.11389501,-0.045409,-0.024555001)
Gyroscope: (-0.074489996,-0.067774,-0.037335005)
Gyroscope: (-0.117089994,-0.077359,-0.039465)
Gyroscope: (-0.12667501,-0.060319,-0.053310003)
Gyroscope: (-0.156495,-0.066709,-0.096975)
Gyroscope: (-0.24808499,-0.072034,-0.118275)
Gyroscope: (-0.32156998,-0.079489,-0.13212)
Gyroscope: (-0.37056,-0.108244,-0.15874499)
Gyroscope: (-0.458955,-0.15510401,-0.19815)
Gyroscope: (-0.537765,-0.203029,-0.216255)
Gyroscope: (-0.524985,-0.21580899,-0.229035)
Gyroscope: (-0.561195,-0.239239,-0.23862)
Gyroscope: (-0.71349,-0.30207402,-0.24075)
Gyroscope: (-0.84022504,-0.28609902,-0.14916)
Gyroscope: (-0.81999004,-0.158299,0.037215)
Gyroscope: (-0.84022504,-0.016654,0.17886001)
Gyroscope: (-1.12032,0.080261,0.39611998)
Gyroscope: (-1.577205,0.030206,0.565455)
Gyroscope: (-1.758255,0.091976,0.6219)
Gyroscope: (-1.866885,0.279416,0.646395)
Gyroscope: (-2.3791502,0.486026,0.61551005)
Gyroscope: (-2.7497702,0.539276,0.72307503)
Gyroscope: (-2.054325,0.38911098,0.612315)
Gyroscope: (-1.100085,0.337991,0.61870503)
Gyroscope: (-1.006365,0.530756,0.640005)
Gyroscope: (-0.914775,0.708611,0.72307503)
Gyroscope: (-1.0138199,0.88753104,0.778455)
Gyroscope: (-0.87537,1.0909461,0.75396)
Gyroscope: (-0.65598005,1.387016,0.72733504)
Gyroscope: (-0.37056,1.6372911,0.66876)
Gyroscope: (-0.124545,1.797041,0.67941004)
Gyroscope: (-0.101114996,1.9099311,0.77313)
Gyroscope: (-0.806145,1.931231,0.833835)
Gyroscope: (-1.6975499,1.869461,0.89667004)
Gyroscope: (-1.82109,1.834316,0.995715)
Gyroscope: (-1.5165,1.748051,1.057485)
Gyroscope: (-1.1565299,1.609601,1.1352301)
Gyroscope: (-1.2225599,1.425356,1.16931)
Gyroscope: (-1.707135,1.3476111,1.142685)
Gyroscope: (-1.9446299,1.177211,0.93714)
Gyroscope: (-1.570815,0.740561,0.52605003)
Gyroscope: (-1.2396,0.57335603,0.19696501)
Gyroscope: (-1.172505,0.68624604,0.40783498)
Gyroscope: (-0.597405,0.579746,0.74757004)
Gyroscope: (-0.16182,0.47963598,0.548415)
Gyroscope: (-0.20442,0.535016,0.4728)
Gyroscope: (-0.66663,0.372071,0.73479)
Gyroscope: (-1.027665,0.086651,0.746505)
Gyroscope: (-0.81999004,0.143096,0.70284003)
Gyroscope: (-0.322635,0.111146,0.771)
Gyroscope: (-0.218265,0.056831,0.74118)
Gyroscope: (-0.34287,0.078131,0.746505)
Gyroscope: (-0.20229,0.045116,0.75396)
Gyroscope: (-0.16608,0.0067760004,0.75928503)
Gyroscope: (-0.333285,0.035531,0.821055)
Gyroscope: (-0.35777998,0.071741,0.8988)
Gyroscope: (-0.143715,0.143096,0.90838504)
Gyroscope: (0.0032550022,0.211256,0.94992)
Gyroscope: (-0.05319,0.20593101,0.963765)
Gyroscope: (-0.17034,0.31669098,0.946725)
Gyroscope: (-0.083009996,0.438101,0.89028)
Gyroscope: (0.30465,0.434906,0.927555)
Gyroscope: (0.50487,0.291131,1.006365)
Gyroscope: (0.20879999,0.20593101,0.997845)
Gyroscope: (0.2727,0.015296,1.12458)
Gyroscope: (-0.365235,0.873686,0.45256498)
Gyroscope: (0.054375,1.400861,0.422745)
Gyroscope: (1.336635,0.041921,1.1331)
Gyroscope: (-0.44937,0.049376,0.390795)
Gyroscope: (-0.72307503,0.401891,0.28748998)
Gyroscope: (0.314235,0.17611101,0.70390505)
Gyroscope: (0.109755,0.081326,0.40677)
Gyroscope: (-0.15969,0.062156,0.116025)
Gyroscope: (-0.09791999,-0.074164,0.27684)
Gyroscope: (-0.23637,0.008906,0.248085)
Gyroscope: (0.0021900013,0.0067760004,0.2598)
Gyroscope: (-0.179925,-0.158299,0.222525)
Gyroscope: (-0.784845,-0.119959004,0.096855)
Gyroscope: (-0.38121,0.046181,0.19803001)
Gyroscope: (0.43777502,0.247466,0.31517997)
Gyroscope: (0.341925,0.188891,0.265125)
Gyroscope: (-0.20122501,0.152681,0.21294)
Gyroscope: (-0.284295,0.109016,0.24915001)
Gyroscope: (0.0043199994,0.217646,0.207615)
Gyroscope: (0.13212,0.003581,0.20655)
Gyroscope: (-0.31731,-0.080554,0.182055)
Gyroscope: (-0.05106,-0.045409,0.3663)
