Gyroscope: (0.19069499,-0.282904,0.103245)
Gyroscope: (0.0597,0.008906,0.01272)
Gyroscope: (0.039465003,0.067480996,-0.009645)
Gyroscope: (-0.02124,-0.0038740002,0.009524997)
Gyroscope: (-0.037215002,-0.019849,-0.010710001)
Gyroscope: (-0.023369998,-0.034759,-0.0011250004)
Gyroscope: (-0.0042000003,-0.019849,0.024434999)
Gyroscope: (0.033075,0.003581,0.0255)
Gyroscope: (0.04905,0.044051,0.026564999)
Gyroscope: (0.041595,0.067480996,0.03402)
Gyroscope: (0.043725003,0.080261,0.031889997)
Gyroscope: (0.085260004,0.082391,0.039345)
Gyroscope: (0.093779996,0.068546,0.049994998)
Gyroscope: (0.056505002,0.048311,0.031889997)
Gyroscope: (0.01923,0.049376,0.026564999)
Gyroscope: (-0.013785001,0.079196,0.048929997)
Gyroscope: (-0.023369998,0.117536,0.096855)
Gyroscope: (0.016035002,0.145226,0.14051999)
Gyroscope: (0.05118,0.16013601,0.18312)
Gyroscope: (0.01923,0.23255599,0.23317501)
Gyroscope: (-0.040409997,0.343316,0.17886001)
Gyroscope: (-0.075555,0.28048098,-0.10868999)
Gyroscope: (-0.12135,0.324146,-0.143835)
Gyroscope: (-0.282165,0.45940098,-0.07887)
Gyroscope: (-0.66876,0.456206,0.057449996)
Gyroscope: (-1.16079,0.398696,0.03402)
Gyroscope: (-1.68477,0.365681,-0.1875)
Gyroscope: (-2.1214201,0.183566,-0.51019496)
Gyroscope: (-2.17467,-0.27012402,-0.96388495)
Gyroscope: (-1.6474949,-0.219004,-1.085295)
Gyroscope: (-0.23530498,0.36887598,-0.48463503)
Gyroscope: (0.62415,0.253856,-0.416475)
Gyroscope: (0.433515,0.29645598,-0.40795502)
Gyroscope: (-0.222525,0.395501,-0.42606002)
Gyroscope: (-0.57930005,0.471116,-0.44416502)
Gyroscope: (-0.48132,0.63406104,-0.33766502)
Gyroscope: (-0.24489,0.793811,-0.15129)
Gyroscope: (-0.214005,0.93226105,-0.021359999)
Gyroscope: (-0.37801498,1.0664511,0.10431)
Gyroscope: (-0.60486,1.160171,0.25767)
Gyroscope: (-0.75396,1.232591,0.363105)
Gyroscope: (-0.714555,1.306076,0.44511)
Gyroscope: (-0.535635,1.330571,0.57078004)
Gyroscope: (-0.38121,1.371041,0.669825)
Gyroscope: (-0.30879,1.437071,0.791235)
Gyroscope: (-0.25767,1.410446,0.89454)
Gyroscope: (-0.292815,1.3561311,0.925425)
Gyroscope: (-0.256605,1.3561311,0.942465)
Gyroscope: (-0.24169499,1.401926,0.963765)
Gyroscope: (-0.16714501,1.401926,0.94885504)
Gyroscope: (0.0171,1.349741,0.921165)
Gyroscope: (0.197085,1.3156611,0.870045)
Gyroscope: (0.1875,1.297556,0.774195)
Gyroscope: (0.02988,1.3156611,0.70923)
Gyroscope: (-0.057449996,1.348676,0.68793)
Gyroscope: (-0.23317498,1.3156611,0.669825)
Gyroscope: (-0.49196997,1.306076,0.63894004)
Gyroscope: (-0.640005,1.351871,0.58356)
Gyroscope: (-0.7497,1.298621,0.50049)
Gyroscope: (-0.814665,1.262411,0.386535)
Gyroscope: (-0.821055,1.318856,0.28323)
Gyroscope: (-0.61444503,1.3156611,0.143715)
Gyroscope: (-0.24808499,1.322051,0.11283)
Gyroscope: (-0.20655,1.3476111,0.25767)
Gyroscope: (-0.30772498,1.314596,0.31730998)
Gyroscope: (-0.2385,1.265606,0.31517997)
Gyroscope: (-0.07875,1.268801,0.329025)
Gyroscope: (-0.0010049976,1.258151,0.36203998)
Gyroscope: (-0.112830006,1.2027711,0.331155)
Gyroscope: (-0.258735,1.131416,0.26406)
Gyroscope: (-0.33754498,1.038761,0.22359)
Gyroscope: (-0.45789,0.933326,0.186315)
Gyroscope: (-0.62403,0.814046,0.139455)
Gyroscope: (-0.90732,0.723521,0.09366)
Gyroscope: (-1.1490749,0.729911,0.073424995)
Gyroscope: (-1.1181899,0.78635603,0.102180004)
Gyroscope: (-0.96909004,0.85132104,0.160755)
Gyroscope: (-0.79230005,0.905636,0.17034)
Gyroscope: (-0.633615,0.929066,0.128805)
Gyroscope: (-0.561195,0.914156,0.08088)
Gyroscope: (-0.39185998,0.885401,0.02976)
Gyroscope: (-0.403575,0.888596,0.057449996)
Gyroscope: (-0.50688004,0.885401,0.12347999)
Gyroscope: (-0.32156998,0.920546,0.194835)
Gyroscope: (-0.032955,0.95143104,0.260865)
Gyroscope: (0.092715,0.884336,0.2385)
Gyroscope: (0.07248,0.779966,0.102180004)
Gyroscope: (-0.27897,0.70222104,0.011654999)
Gyroscope: (-0.74331003,0.65429604,0.018044999)
Gyroscope: (-0.75928503,0.659621,0.03828)
Gyroscope: (-0.54735005,0.680921,0.07023)
Gyroscope: (-0.57717,0.66707605,0.081945)
Gyroscope: (-0.437655,0.655361,0.077685)
Gyroscope: (-0.0052649975,0.643646,0.091529995)
Gyroscope: (0.312105,0.623411,0.121350005)
Gyroscope: (0.316365,0.57761604,0.145845)
Gyroscope: (0.18324,0.54247105,0.15117)
Gyroscope: (0.109755,0.399761,0.13626)
Gyroscope: (0.060765,0.23042601,0.092594996)
Gyroscope: (0.094845,0.167591,0.05532)
Gyroscope: (0.0021900013,0.096236,0.11709)
Gyroscope: (0.11508,0.098366,0.122415006)
Gyroscope: (0.154485,0.103691,0.08939999)
Gyroscope: (0.0053850003,0.083456,0.073424995)
Gyroscope: (-0.073425,0.050441,0.054254998)
Gyroscope: (0.012840001,0.051506,0.0031349994)
Gyroscope: (0.035205,0.042986,-0.036270004)
Gyroscope: (-0.08088,0.014231,-0.058635)
Gyroscope: (-0.216135,-0.010264,-0.052245002)
Gyroscope: (-0.09685499,-0.007068999,-0.03201)
Gyroscope: (0.121470004,0.016361,-0.021359999)
Gyroscope: (0.120405,0.008906,-0.008580003)
Gyroscope: (0.071415,-0.020914,0.0031349994)
Gyroscope: (0.020295002,-0.045409,0.020174999)
Gyroscope: (-0.031889997,-0.047539,0.026564999)
Gyroscope: (0.011775,-0.028368998,0.0255)
Gyroscope: (0.068220004,-0.020914,0.03402)
Gyroscope: (0.06609,-0.024108998,0.030824998)
Gyroscope: (0.0384,-0.026239,0.030824998)
Gyroscope: (-0.01698,-0.033694,0.0255)
Gyroscope: (-0.032955,-0.044344,-0.0053850003)
Gyroscope: (-0.0042000003,-0.040084,-0.025620002)
Gyroscope: (0.0021900013,-0.041149,-0.018165004)
Gyroscope: (0.0032550022,-0.047539,-0.019230004)
Gyroscope: (0.028815001,-0.045409,-0.028815005)
Gyroscope: (-0.015914999,-0.045409,-0.017100003)
Gyroscope: (-0.02124,-0.047539,-0.020294998)
Gyroscope: (0.025620002,-0.039019,-0.013905)
Gyroscope: (0.0011250004,-0.043279,0.0063299984)
Gyroscope: (-0.029759996,-0.042214,-0.0032550022)
Gyroscope: (0.01923,-0.037954,-0.020294998)
Gyroscope: (-0.0031349994,-0.034759,-0.013905)
Gyroscope: (-0.02124,-0.016654,0.010589998)
Gyroscope: (0.054375,-0.014524,0.011654999)
Gyroscope: (0.071415,-0.016654,0.0010049976)
Gyroscope: (-0.01698,-0.013458999,0.009524997)
Gyroscope: (-0.043605,-0.017719,0.010589998)
